City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
243,Verkhnevilyuysk,RU,63.4453,120.3167,63.1,82,100,5.44,overcast clouds
244,Saldanha,ZA,-33.0117,17.9442,50.54,66,0,9.82,clear sky
245,Moron De La Frontera,ES,37.1208,-5.454,89.01,30,0,8.05,clear sky
246,Progreso,MX,21.2833,-89.6667,92.1,68,72,15.73,broken clouds
247,San Andres,CO,12.5847,-81.7006,81.41,82,91,21.07,overcast clouds
248,Moyale,KE,3.5167,39.0584,73.94,44,100,9.89,overcast clouds
249,Klyuchi,RU,52.2667,79.1667,68.92,74,49,3.89,scattered clouds
250,Sept-Iles,CA,50.2001,-66.3821,66.25,75,100,1.01,overcast clouds
251,Humaita,BR,-7.5061,-63.0208,95.5,27,38,2.84,scattered clouds
252,Srednekolymsk,RU,67.45,153.6833,59.22,55,59,8.19,broken clouds
253,Gbadolite,CD,4.2833,21.0167,73.65,80,96,3.56,overcast clouds
254,Ancud,CL,-41.8697,-73.8203,49.53,69,91,7.56,overcast clouds
255,Sobolevo,RU,54.4299,31.8996,57.47,92,20,4.14,moderate rain
256,Alofi,NU,-19.0595,-169.9187,77.38,83,9,17.2,clear sky
257,Kilakarai,IN,9.2333,78.7833,83.98,60,100,18.99,overcast clouds
258,Inirida,CO,3.8653,-67.9239,79.92,91,93,2.33,overcast clouds
259,Severnyy,RU,50.677,36.5532,64.44,63,0,8.95,clear sky
260,Aklavik,CA,68.2191,-135.0107,62.42,52,99,1.79,overcast clouds
261,Bubaque,GW,11.2833,-15.8333,79.61,79,100,13.98,overcast clouds
262,Port Lincoln,AU,-34.7333,135.8667,52.65,69,15,21.47,few clouds
263,Camacha,PT,33.0833,-16.3333,68.76,78,20,13.8,few clouds
264,Shirokiy,RU,49.758,129.523,69.69,95,52,8.59,broken clouds
265,Batagay-Alyta,RU,67.8006,130.4114,60.64,70,54,1.97,light rain
266,Adrar,MR,20.5022,-10.0711,96.17,17,15,9.6,few clouds
267,Phalaborwa,ZA,-23.943,31.1411,50.63,58,0,6.06,clear sky
268,Inhuma,BR,-6.6683,-41.7078,79.83,27,0,5.53,clear sky
269,Guerrero Negro,MX,27.9769,-114.0611,83.59,51,25,14.65,scattered clouds
270,Nemuro,JP,43.3236,145.575,61.56,94,92,10.58,overcast clouds
271,Santander,ES,43.4647,-3.8044,68.47,82,75,1.99,broken clouds
