City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,South Hill,US,80.73,clear sky,47.1412,-122.2701,Best Western Premier Plaza Hotel & Conference Center
536,Dubti,ET,88.97,overcast clouds,11.7361,41.0853,degu Shiferaw
538,Boysun,UZ,78.04,clear sky,38.2061,67.1986,Gaza Hotel
540,Alappuzha,IN,79.0,light rain,9.49,76.3264,Panoramic Sea Resort
543,Otaru,JP,71.58,few clouds,43.1894,141.0022,Dormy Inn Premium Otaru Natural Hot Spring
544,Muisne,EC,77.49,overcast clouds,0.6,-80.0333,Quinta Samay
545,Kamaishi,JP,74.19,few clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
546,Dawei,MM,78.22,overcast clouds,14.0833,98.2,Hotel Dawei
548,Banjarmasin,ID,73.54,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
549,Koumac,NC,70.36,clear sky,-20.5667,164.2833,Le Monitel
550,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
551,Tual,ID,79.11,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
552,Misratah,LY,79.97,clear sky,32.3754,15.0925,فندق الماسة
554,Sokoto,NG,79.09,overcast clouds,13.0609,5.239,Shukura Coral Hotel
557,Sergokala,RU,70.93,few clouds,42.4547,47.6612,"Klub ""Dolgostroy"""
561,Guadix,ES,87.15,clear sky,37.2993,-3.1392,Hotel YIT Abentofail
562,Onverwacht,SR,80.98,light rain,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
564,Kibray,UZ,75.72,clear sky,41.3873,69.4641,Chinor Garden Hotel 2
567,Singaraja,ID,74.77,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
570,Malatya,TR,71.65,clear sky,38.5,38.0,Ilıcak
572,Yenagoa,NG,74.97,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
573,Yarada,IN,81.82,overcast clouds,17.65,83.2667,Jeevan
576,Itoman,JP,81.37,light intensity shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
577,Gigmoto,PH,81.54,overcast clouds,13.7796,124.39,Cj's Travellers Inn
579,Samrala,IN,83.23,clear sky,30.8367,76.1897,OYO 41932 Hotel Gill Regency
580,Bondo,CD,70.81,light rain,3.8146,23.6866,Bondo
582,Caravelas,BR,70.07,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
584,Jacareacanga,BR,88.88,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
585,Karaton,ID,77.95,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
591,Coos Bay,US,87.85,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
592,Newport,GB,72.45,overcast clouds,51.5877,-2.9984,ibis budget Newport
593,Wamba,NG,71.02,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
598,Dzaoudzi,YT,75.09,light rain,-12.7887,45.2699,Le Rocher
599,Uvira,CD,77.45,overcast clouds,-3.4067,29.1458,Hotel Suzana
602,Maraba,BR,84.76,scattered clouds,-5.3686,-49.1178,Hotel Del Principe
603,Kigoma,TZ,76.17,broken clouds,-4.8769,29.6267,MJI Mwema Lodge
606,Gashua,NG,79.65,scattered clouds,12.871,11.0482,Forte Oil - Old Lorry Park
607,Jinchang,CN,76.91,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
608,Hirara,JP,82.67,heavy intensity rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
609,Nipawin,CA,81.48,scattered clouds,53.3668,-104.0009,Tobin Lake Motel
611,Kapuskasing,CA,83.14,scattered clouds,49.4169,-82.4331,Park Inn Motel
612,Santiago Del Estero,AR,83.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
613,Gizo,SB,81.57,light rain,-8.103,156.8419,Imagination Island
616,Marquette,US,82.81,broken clouds,46.5333,-87.6335,Al Quaal Lodge
